customer_id,category,created_at,status
1187,Network,2025-07-12,Closed
1191,Network,2024-10-25,Closed
1192,Recharge,2025-02-22,Open
1195,Recharge,2025-08-08,Resolved
1196,Service,2025-07-13,Open
1199,Speed,2024-10-29,Resolved
1200,Roaming,2025-03-21,Open
1202,Roaming,2024-10-28,Closed
1202,Service,2025-02-02,Resolved
1203,Network,2024-11-16,Open
1203,Speed,2024-10-14,Closed
1203,Roaming,2025-09-09,Resolved
1204,Service,2024-12-21,Open
1205,Billing,2024-11-19,Resolved
1206,Recharge,2025-07-02,Resolved
1206,Billing,2024-11-05,Open
1206,Network,2025-05-25,Resolved
1208,Network,2025-03-05,Closed
1209,Roaming,2025-03-29,Open
1211,Recharge,2025-04-28,Open
1211,Network,2025-05-23,Closed
1211,Roaming,2025-01-02,Closed
1212,Recharge,2025-03-18,Resolved
1215,Recharge,2025-05-16,Resolved
1216,Recharge,2025-03-29,Closed
1216,Recharge,2025-07-17,Closed
1217,Network,2025-09-06,Closed
1218,Roaming,2025-07-06,Closed
1220,Speed,2024-10-05,Open
1221,Network,2024-12-25,Closed
1221,Service,2024-11-18,Resolved
1222,Recharge,2025-08-05,Open
1222,Billing,2024-12-18,Open
1222,Speed,2025-06-24,Open
1223,Billing,2025-05-28,Resolved
1223,Service,2025-05-26,Closed
1223,Roaming,2024-11-13,Closed
1228,Recharge,2025-02-21,Closed
1230,Speed,2025-04-13,Closed
1230,Roaming,2024-10-14,Closed
1230,Billing,2025-09-24,Open
1233,Speed,2025-04-13,Closed
1233,Service,2024-11-25,Open
1234,Service,2025-01-29,Closed
1235,Speed,2025-08-22,Resolved
1235,Billing,2025-02-10,Closed
1237,Speed,2025-03-29,Closed
1240,Recharge,2024-11-20,Resolved
1245,Speed,2024-11-07,Closed
1246,Speed,2024-12-06,Closed
1247,Service,2025-03-29,Resolved
1247,Network,2025-02-15,Open
1249,Billing,2024-11-25,Resolved
1249,Speed,2024-11-16,Open
1249,Recharge,2025-04-19,Resolved
1251,Service,2025-07-13,Closed
1251,Billing,2024-11-25,Closed
1255,Service,2024-10-31,Closed
1256,Billing,2025-06-22,Closed
1259,Recharge,2025-05-04,Open
1259,Recharge,2025-06-03,Resolved
1259,Speed,2025-03-05,Open
1261,Network,2025-09-05,Resolved
1263,Service,2025-01-16,Resolved
1264,Network,2025-08-02,Open
1264,Network,2024-11-28,Open
1264,Roaming,2025-05-20,Open
1269,Network,2025-03-14,Resolved
1270,Network,2024-11-15,Resolved
1271,Billing,2024-11-18,Closed
1271,Recharge,2025-07-24,Open
1274,Speed,2025-06-23,Resolved
1276,Roaming,2024-10-04,Open
1276,Roaming,2025-07-18,Open
1277,Service,2025-03-20,Resolved
1278,Billing,2024-10-19,Closed
1283,Roaming,2025-08-09,Open
1283,Network,2024-11-02,Closed
1284,Service,2025-04-07,Resolved
1284,Billing,2025-01-12,Open
1287,Billing,2025-07-28,Resolved
1288,Roaming,2025-07-07,Closed
1288,Roaming,2024-10-12,Resolved
1289,Roaming,2025-07-16,Open
1289,Service,2025-02-16,Closed
1290,Network,2025-06-18,Closed
1293,Recharge,2025-07-15,Closed
1295,Billing,2025-05-08,Open
1296,Service,2025-04-06,Open
1297,Roaming,2025-03-30,Closed
1299,Recharge,2025-02-09,Resolved
1299,Service,2025-01-17,Closed
1299,Speed,2025-02-16,Closed
1300,Speed,2025-08-11,Closed
1300,Speed,2025-02-06,Open
1300,Speed,2025-08-19,Open
1302,Recharge,2025-03-13,Resolved
1303,Service,2025-02-18,Resolved
1303,Recharge,2025-01-16,Resolved
1305,Service,2025-05-06,Open
1310,Billing,2025-04-18,Open
1310,Speed,2025-09-14,Open
1310,Service,2025-08-24,Open
1311,Recharge,2025-05-20,Closed
1313,Billing,2025-08-11,Closed
1315,Roaming,2025-02-12,Resolved
1319,Recharge,2025-04-01,Closed
1319,Billing,2025-07-31,Open
1320,Speed,2025-05-04,Resolved
1320,Billing,2025-02-14,Closed
1321,Roaming,2025-01-23,Open
1323,Roaming,2025-06-02,Open
1327,Roaming,2025-06-24,Open
1327,Network,2024-10-07,Closed
1328,Speed,2024-11-28,Open
1328,Service,2025-09-01,Closed
1328,Speed,2025-04-06,Open
1329,Service,2025-07-11,Resolved
1331,Billing,2025-04-23,Resolved
1332,Billing,2024-12-22,Open
1332,Service,2025-01-09,Closed
1332,Roaming,2025-06-22,Resolved
1333,Recharge,2025-05-25,Resolved
1336,Speed,2024-10-23,Resolved
1336,Network,2025-05-09,Open
1336,Speed,2025-02-01,Resolved
1337,Speed,2025-09-10,Open
1337,Roaming,2024-10-28,Resolved
1338,Network,2025-08-30,Open
1339,Speed,2025-09-21,Closed
1340,Speed,2025-05-05,Closed
1341,Billing,2024-12-06,Open
1344,Service,2025-08-22,Closed
1344,Roaming,2025-03-12,Resolved
1344,Service,2025-02-02,Closed
1345,Service,2025-02-16,Resolved
1345,Speed,2024-10-11,Closed
1348,Network,2025-09-10,Closed
1348,Speed,2025-08-29,Closed
1348,Billing,2025-08-04,Closed
1349,Recharge,2024-09-27,Closed
1349,Speed,2025-01-08,Open
1351,Roaming,2025-08-15,Open
1351,Network,2025-01-13,Open
1351,Speed,2025-01-26,Open
1353,Service,2025-02-25,Open
1354,Service,2024-10-31,Open
1354,Billing,2025-08-07,Closed
1355,Billing,2025-06-12,Closed
1355,Recharge,2025-04-03,Resolved
1357,Speed,2025-04-19,Closed
1358,Billing,2025-04-13,Open
1359,Speed,2024-12-17,Closed
1360,Service,2025-01-02,Closed
1360,Billing,2025-06-12,Open
1363,Network,2025-01-10,Resolved
1365,Speed,2025-08-29,Open
1365,Billing,2025-01-15,Resolved
1365,Billing,2025-02-17,Resolved
1366,Network,2025-07-27,Resolved
1369,Network,2025-01-22,Open
1371,Recharge,2024-12-08,Closed
1372,Recharge,2025-05-05,Closed
1372,Speed,2025-01-17,Closed
1372,Speed,2025-05-16,Closed
1373,Speed,2025-05-28,Resolved
1374,Service,2025-01-18,Closed
1375,Service,2025-03-23,Closed
1375,Network,2025-02-11,Closed
1376,Network,2025-05-04,Resolved
1377,Recharge,2024-12-24,Resolved
1378,Recharge,2025-09-15,Closed
1378,Network,2024-12-28,Resolved
1378,Network,2025-08-28,Open
1379,Recharge,2024-11-07,Open
1382,Recharge,2025-04-22,Open
1384,Service,2024-11-23,Closed
1384,Roaming,2025-09-03,Open
1385,Service,2024-10-07,Open
1386,Recharge,2025-05-18,Open
1386,Billing,2024-10-18,Closed
1388,Recharge,2024-10-28,Closed
1388,Network,2025-02-04,Closed
1389,Service,2025-02-23,Closed
1389,Roaming,2025-06-26,Open
1390,Service,2025-02-11,Open
1391,Recharge,2025-05-31,Resolved
1392,Service,2025-08-23,Closed
1392,Billing,2025-04-13,Resolved
1393,Service,2024-12-12,Closed
1394,Recharge,2025-09-13,Closed
1394,Network,2025-01-24,Open
1396,Service,2025-01-12,Closed
1397,Network,2024-12-15,Open
1397,Speed,2025-09-17,Closed
1397,Roaming,2024-12-08,Closed
1399,Billing,2024-11-09,Open
1403,Service,2024-10-26,Resolved
1404,Billing,2025-06-15,Closed
1404,Roaming,2025-08-09,Closed
1405,Roaming,2025-02-02,Open
1408,Speed,2025-08-09,Resolved
1409,Service,2024-10-18,Closed
1410,Network,2025-05-04,Open
1412,Roaming,2024-09-28,Resolved
1412,Speed,2025-08-30,Closed
1413,Speed,2024-12-20,Open
1417,Roaming,2025-04-18,Closed
1417,Service,2025-01-12,Open
1417,Network,2025-05-28,Closed
1418,Speed,2025-07-29,Resolved
1419,Service,2025-01-06,Open
1420,Service,2025-06-29,Closed
1421,Network,2024-12-03,Open
1421,Recharge,2024-11-28,Open
1422,Service,2025-08-23,Open
1423,Recharge,2025-09-18,Open
1423,Roaming,2025-09-01,Open
1424,Roaming,2025-02-22,Open
1424,Recharge,2024-10-24,Closed
1424,Roaming,2024-11-12,Resolved
1425,Recharge,2024-10-28,Open
1426,Speed,2025-06-14,Closed
1426,Billing,2025-01-23,Closed
1428,Billing,2025-05-23,Open
1431,Billing,2025-01-14,Closed
1433,Billing,2025-09-12,Closed
1434,Speed,2025-08-10,Open
1435,Roaming,2025-02-04,Closed
1436,Roaming,2025-02-05,Closed
1436,Recharge,2025-08-10,Closed
1437,Service,2025-09-22,Closed
1439,Service,2024-10-27,Closed
1439,Network,2024-10-29,Open
1444,Billing,2024-09-28,Open
1446,Roaming,2025-02-07,Closed
1446,Service,2025-01-08,Closed
1448,Service,2025-02-06,Open
1448,Roaming,2024-09-29,Resolved
1449,Billing,2025-07-11,Open
1453,Roaming,2025-07-09,Closed
1456,Roaming,2024-11-18,Resolved
1458,Billing,2024-10-23,Resolved
1458,Billing,2024-12-31,Closed
1460,Speed,2024-11-14,Closed
1460,Recharge,2025-04-12,Closed
1461,Billing,2025-05-14,Open
1462,Service,2025-05-07,Closed
1462,Roaming,2025-07-24,Closed
1462,Service,2025-01-14,Open
1463,Billing,2025-06-13,Open
1463,Service,2025-02-09,Open
1465,Recharge,2025-04-05,Resolved
1465,Speed,2024-10-09,Open
1466,Speed,2024-11-11,Open
1467,Speed,2025-04-12,Resolved
1467,Network,2025-02-11,Closed
1470,Recharge,2025-09-10,Closed
1470,Speed,2025-01-18,Closed
1471,Roaming,2025-05-11,Closed
1472,Speed,2025-07-19,Closed
1476,Roaming,2025-01-16,Closed
1479,Network,2025-03-01,Closed
1479,Service,2025-01-12,Closed
1481,Speed,2024-11-23,Closed
1481,Speed,2025-03-30,Closed
1481,Service,2024-12-27,Resolved
1482,Speed,2025-04-10,Closed
1482,Service,2025-07-08,Closed
1483,Roaming,2025-08-22,Open
1485,Speed,2024-11-14,Closed
1493,Recharge,2025-06-07,Closed
1493,Recharge,2025-08-05,Resolved
1494,Recharge,2025-07-03,Closed
1496,Roaming,2025-04-12,Resolved
1497,Service,2025-03-31,Closed
1499,Network,2025-09-05,Closed
1499,Billing,2025-01-22,Closed
1500,Roaming,2024-11-08,Open
