customer_id,data_used_gb,calls_made,revenue_inr
1394,7.01,195,192.04
1395,7.45,281,305.83
1396,3.14,127,229.56
1397,4.37,395,293.43
1398,7.16,259,357.19
1399,8.87,392,104.83
1400,15.31,227,263.59
1401,6.57,228,316.48
1402,3.53,204,210.24
1403,2.21,368,179.15
1404,4.58,209,231.73
1405,15.97,344,237.49
1406,4.77,242,197.76
1407,8.91,82,471.42
1408,3.45,223,201.53
1409,10.92,162,353.49
1410,4.14,283,237.79
1411,10.66,161,367.27
1412,6.5,373,542.05
1413,10.18,271,360.62
1414,2.29,262,245.51
1415,3.29,346,203.18
1416,2.83,376,169.23
1417,4.38,278,166.79
1418,14.31,203,127.49
1419,10.94,103,385.86
1420,6.53,211,236.93
1421,1.13,218,107.72
1422,9.67,291,253.43
1423,8.3,245,305.14
1424,6.69,349,331.05
1425,13.07,219,260.22
1426,4.43,274,210.0
1427,5.04,398,154.84
1428,17.52,314,219.01
1429,20.14,274,240.23
1430,6.13,220,195.6
1431,13.12,217,325.49
1432,2.0,195,232.46
1433,1.13,226,233.25
1434,3.41,356,215.19
1435,23.25,258,416.8
1436,14.16,145,299.0
1437,5.0,457,113.36
1438,17.95,312,204.2
1439,3.01,139,83.34
1440,2.32,236,231.57
1441,10.26,291,267.74
1442,10.84,450,277.48
1443,21.54,169,212.83
1444,26.95,378,313.2
1445,13.23,420,382.45
1446,8.08,217,292.17
1447,4.96,252,201.72
1448,4.24,176,201.44
1449,2.18,260,187.14
1450,1.81,276,233.68
1451,8.42,346,290.51
1452,3.82,389,151.01
1453,2.25,205,179.45
1454,3.88,83,168.65
1455,8.9,278,467.94
1456,6.88,309,225.47
1457,6.79,305,298.77
1458,3.57,247,189.47
1459,4.48,292,266.31
1460,12.72,432,280.47
1461,16.89,318,315.83
1462,1.47,243,151.32
1463,24.95,230,294.26
1464,7.34,263,357.42
1465,7.72,444,145.79
1466,16.02,262,390.57
1467,11.19,278,507.27
1468,8.05,232,307.84
1469,6.43,390,299.88
1470,7.42,476,411.71
1471,11.5,325,476.68
1472,19.19,288,427.76
1473,5.2,284,283.21
1474,11.93,42,364.71
1475,15.06,355,392.98
1476,9.11,293,374.07
1477,3.07,323,178.82
1478,12.57,209,217.5
1479,15.64,242,392.85
1480,0.77,239,122.97
1481,17.59,382,306.12
1482,2.87,242,167.86
1483,7.5,488,249.03
1484,10.9,323,285.45
1485,2.08,152,80.14
1486,10.01,267,370.53
1487,9.7,215,323.87
1488,16.86,61,193.9
1489,5.74,440,186.28
1490,2.21,350,133.65
1491,11.65,333,409.14
1492,10.38,297,451.24
1493,15.35,142,322.51
1494,2.51,232,239.28
1495,13.44,364,412.08
1496,2.05,175,173.26
1497,6.46,27,287.34
1498,3.28,257,163.65
1499,15.65,266,547.71
1500,4.14,294,55.82
